region_coronavirus	region_world	continent
Afghanistan	Afghanistan	Asia
Albania	Albania	Europe
Algeria	Algeria	Africa
American Samoa	American Samoa	
Andorra	Andorra	Europe
Angola	Angola	Africa
Anguilla	Anguilla	
Antarctica	Antarctica	
Antigua	Antigua	North America
Argentina	Argentina	South America
Armenia	Armenia	Europe
Aruba	Aruba	
Ascension Island	Ascension Island	
Australia	Australia	Oceania
Austria	Austria	Europe
Azerbaijan	Azerbaijan	Europe
Azores	Azores	
Bahamas	Bahamas	North America
Bahamas, The	Bahamas	North America
The Bahamas	Bahamas	North America
Bahrain	Bahrain	Asia
Bangladesh	Bangladesh	Asia
Barbados	Barbados	North America
Barbuda	Barbuda	North America
Belarus	Belarus	Europe
Belgium	Belgium	Europe
Belize	Belize	North America
Benin	Benin	Africa
Bermuda	Bermuda	
Bhutan	Bhutan	Asia
Bolivia	Bolivia	South America
Bonaire	Bonaire	
Bosnia and Herzegovina	Bosnia and Herzegovina	Europe
Botswana	Botswana	Africa
Brazil	Brazil	South America
Brunei	Brunei	Asia
Bulgaria	Bulgaria	Europe
Burkina Faso	Burkina Faso	Africa
Burundi	Burundi	Africa
Cambodia	Cambodia	Asia
Cameroon	Cameroon	Africa
Canada	Canada	North America
Canary Islands	Canary Islands	
Cape Verde	Cape Verde	Africa
Cayman Islands	Cayman Islands	
Central African Republic	Central African Republic	Africa
Chad	Chad	Africa
Chagos Archipelago	Chagos Archipelago	
Chile	Chile	South America
China	China	Asia
Hong Kong	China	Asia
Hong Kong SAR	China	Asia
Hongkong	China	Asia
Macau	China	Asia
Macau SAR	China	Asia
Mainland China	China	Asia
Christmas Island	Christmas Island	
Cocos Islands	Cocos Islands	
Colombia	Colombia	South America
Comoros	Comoros	Africa
Cook Islands	Cook Islands	
Costa Rica	Costa Rica	North America
Croatia	Croatia	Europe
Cuba	Cuba	North America
Curacao	Curacao	
Cyprus	Cyprus	Europe
Czech Republic	Czech Republic	Europe
Czechia	Czech Republic	Europe
Congo (Kinshasa)	Democratic Republic of the Congo	Africa
Dem. Rep. Congo	Democratic Republic of the Congo	Africa
Democratic Republic of the Congo	Democratic Republic of the Congo	Africa
Denmark	Denmark	Europe
Djibouti	Djibouti	Africa
Dominica	Dominica	North America
Dominican Republic	Dominican Republic	North America
Ecuador	Ecuador	South America
Egypt	Egypt	Africa
El Salvador	El Salvador	North America
Equatorial Guinea	Equatorial Guinea	Africa
Eritrea	Eritrea	Africa
Estonia	Estonia	Europe
Ethiopia	Ethiopia	Africa
Falkland Islands	Falkland Islands	
Faroe Islands	Faroe Islands	
Fiji	Fiji	Oceania
Finland	Finland	Europe
France	France	Europe
French Guiana	French Guiana	
French Polynesia	French Polynesia	
French Southern and Antarctic Lands	French Southern and Antarctic Lands	
Gabon	Gabon	Africa
Gambia	Gambia	Africa
Gambia, The	Gambia	Africa
Georgia	Georgia	Europe
Germany	Germany	Europe
Ghana	Ghana	Africa
Greece	Greece	Europe
Greenland	Greenland	
Grenada	Grenada	
Grenadines	Grenadines	North America
Guadeloupe	Guadeloupe	
Guam	Guam	
Guatemala	Guatemala	North America
Guernsey	Guernsey	
Guinea	Guinea	Africa
Guinea-Bissau	Guinea-Bissau	Africa
Guyana	Guyana	South America
Haiti	Haiti	North America
Heard Island	Heard Island	
Honduras	Honduras	North America
Hungary	Hungary	Europe
Iceland	Iceland	Europe
India	India	Asia
Indonesia	Indonesia	Asia
Iran	Iran	Asia
Iran (Islamic Republic of)	Iran	Asia
Iraq	Iraq	Asia
Ireland	Ireland	Europe
Isle of Man	Isle of Man	
Israel	Israel	Asia
Italy	Italy	Europe
Ivory Coast	Ivory Coast	Africa
Jamaica	Jamaica	North America
Japan	Japan	Asia
Jersey	Jersey	
Jordan	Jordan	Asia
Kazakhstan	Kazakhstan	Asia
Kenya	Kenya	Africa
Kiribati	Kiribati	Oceania
Kosovo	Kosovo	
Kuwait	Kuwait	Asia
Kyrgyzstan	Kyrgyzstan	Asia
Laos	Laos	Asia
Latvia	Latvia	Europe
Lebanon	Lebanon	Asia
Lesotho	Lesotho	Africa
Liberia	Liberia	Africa
Libya	Libya	Africa
Liechtenstein	Liechtenstein	Europe
Lithuania	Lithuania	Europe
Luxembourg	Luxembourg	Europe
Macedonia	Macedonia	Europe
Madagascar	Madagascar	Africa
Madeira Islands	Madeira Islands	
Malawi	Malawi	Africa
Malaysia	Malaysia	Asia
Maldives	Maldives	Asia
Mali	Mali	Africa
Malta	Malta	Europe
Marshall Islands	Marshall Islands	Oceania
Martinique	Martinique	
Mauritania	Mauritania	Africa
Mauritius	Mauritius	Africa
Mayotte	Mayotte	
Mexico	Mexico	North America
Micronesia	Micronesia	Oceania
Moldova	Moldova	Europe
Republic of Moldova	Moldova	Europe
Monaco	Monaco	Europe
Mongolia	Mongolia	Asia
Montenegro	Montenegro	Europe
Montserrat	Montserrat	
Morocco	Morocco	Africa
Mozambique	Mozambique	Africa
Myanmar	Myanmar	Asia
Namibia	Namibia	Africa
Nauru	Nauru	Oceania
Nepal	Nepal	Asia
Netherlands	Netherlands	Europe
Nevis	Nevis	
New Caledonia	New Caledonia	
New Zealand	New Zealand	Oceania
Nicaragua	Nicaragua	North America
Niger	Niger	Africa
Nigeria	Nigeria	Africa
Niue	Niue	
Norfolk Island	Norfolk Island	
North Korea	North Korea	Asia
Northern Mariana Islands	Northern Mariana Islands	
Norway	Norway	Europe
Oman	Oman	Asia
Pakistan	Pakistan	Asia
Palau	Palau	Oceania
Palestine	Palestine	
Panama	Panama	North America
Papua New Guinea	Papua New Guinea	Oceania
Paraguay	Paraguay	South America
Peru	Peru	South America
Philippines	Philippines	Asia
Pitcairn Islands	Pitcairn Islands	
Poland	Poland	Europe
Portugal	Portugal	Europe
Puerto Rico	Puerto Rico	
Qatar	Qatar	Asia
Congo (Brazzaville)	Republic of Congo	Africa
Republic of Congo	Republic of Congo	Africa
Reunion	Reunion	
Romania	Romania	Europe
Russia	Russia	Asia
Russian Federation	Russia	Asia
Rwanda	Rwanda	Africa
Saba	Saba	
Saint Barthelemy	Saint Barthelemy	
Saint Helena	Saint Helena	
Saint Kitts	Saint Kitts	North America
Saint Lucia	Saint Lucia	North America
Saint Martin	Saint Martin	
Saint Pierre and Miquelon	Saint Pierre and Miquelon	
Saint Vincent	Saint Vincent	North America
Samoa	Samoa	Oceania
San Marino	San Marino	Europe
Sao Tome and Principe	Sao Tome and Principe	Africa
Saudi Arabia	Saudi Arabia	Asia
Senegal	Senegal	Africa
Serbia	Serbia	Europe
Seychelles	Seychelles	Africa
Siachen Glacier	Siachen Glacier	
Sierra Leone	Sierra Leone	Africa
Singapore	Singapore	Asia
Sint Eustatius	Sint Eustatius	
Sint Maarten	Sint Maarten	
Slovakia	Slovakia	Europe
Slovenia	Slovenia	Europe
Solomon Islands	Solomon Islands	
Somalia	Somalia	Africa
Korea, South	South Korea	Asia
Republic of Korea	South Korea	Asia
South Africa	South Africa	Africa
South Georgia	South Georgia	
South Korea	South Korea	
South Sandwich Islands	South Sandwich Islands	
South Sudan	South Sudan	Africa
Spain	Spain	Europe
Sri Lanka	Sri Lanka	Asia
Sudan	Sudan	Africa
Suriname	Suriname	South America
Swaziland	Swaziland	Africa
Sweden	Sweden	Europe
Switzerland	Switzerland	Europe
Syria	Syria	Asia
Taipei and environs	Taiwan	Asia
Taiwan	Taiwan	Asia
Taiwan*	Taiwan	Asia
Tajikistan	Tajikistan	Asia
Tanzania	Tanzania	Africa
Thailand	Thailand	Asia
Timor-Leste	Timor-Leste	
Tobago	Tobago	North America
Togo	Togo	Africa
Tonga	Tonga	Oceania
Trinidad	Trinidad	North America
Tunisia	Tunisia	Africa
Turkey	Turkey	Asia
Turkmenistan	Turkmenistan	Asia
Turks and Caicos Islands	Turks and Caicos Islands	
Uganda	Uganda	Africa
UK	UK	Europe
United Kingdom	UK	Europe
Ukraine	Ukraine	Europe
United Arab Emirates	United Arab Emirates	Asia
Uruguay	Uruguay	South America
US	USA	North America
USA	USA	North America
Uzbekistan	Uzbekistan	Asia
Vanuatu	Vanuatu	Oceania
Vatican	Vatican	Europe
Venezuela	Venezuela	South America
Viet Nam	Vietnam	Asia
Vietnam	Vietnam	Asia
Virgin Islands	Virgin Islands	
Wallis and Futuna	Wallis and Futuna	
Western Sahara	Western Sahara	
Yemen	Yemen	Asia
Zambia	Zambia	Africa
Zimbabwe	Zimbabwe	Africa
